,mcap_cr
AAREYDRUGS,152.31
AAKASH,81.4
AARTIPHARM,5862.16
360ONE,37927.24
5PAISA,891.86
AARTECH,123.11
AAATECH,118.28
3IINFOLTD,307.82
3PLAND,
A2ZINFRA,279.33
AARTIDRUGS,3220.66
AARTISURF,308.59
21STCENMGM,31.57
3MINDIA,33496.69
AARON,284.6
63MOONS,2284.02
AADHARHFC,19131.75
AAVAS,9030.78
ADROITINFO,51.43
ABCAPITAL,78129.75
ADANIPOWER,308518.84
ACCELYA,1716.99
ADVENTHTL,762.43
ADVANCE,618.94
ADANIENSOL,113244.17
ABINFRA,1032.92
ACI,7208.74
ABB,130161.68
ADANIGREEN,140998.28
ADANIENT,249805.79
ACC,24898.71
ABSLAMC,26487.86
ACMESOLAR,16643.02
ACE,9731.3
AEQUS,8091.38
AEGISVOPAK,18795.97
ABREL,12654.6
ADL,35.11
ABMINTLLTD,40.29
20MICRONS,529.77
AARTIIND,14841.69
AEROENTER,807.77
ADSL,559.72
AEGISLOG,20682.67
AARVI,186.29
ADANIPORTS,317393.4
ABBOTINDIA,55940.1
ABLBL,11352.94
ABCOTS,887.33
AERONEU,205.97
AEROFLEX,3347.71
AFCONS,10434.05
AETHER,14652.4
AFIL,343.53
AFSL,1022.93
ABDL,11855.51
AFFORDABLE,162.85
ADVENZYMES,3050.01
AFFLE,19988.11
AGARWALEYE,13210.87
AHLWEST,
ADVANIHOTR,462.84
ABFRL,7013.69
AHLADA,45.02
AJANTPHARM,34889.03
ACCURACY,57.66
AGROPHOS,56.46
AGI,3253.95
ACEINTEG,16.8
AGSTRA,33.87
AJAXENGG,5011.02
AHCL,601.41
ADOR,1511.87
AGRITECH,63.45
AGIIL,3718.05
ACL,414.41
AGARIND,574.45
AHLUCONT,4650.95
AIRAN,187.03
AJOONI,69.76
AKI,47.14
AIIL,35642.0
AHLEAST,270.07
AKUMS,7645.61
AKG,32.83
AKSHOPTFBR,74.84
ACUTAAS,17276.44
AKASH,41.43
ALLTIME,1321.68
ALKEM,62867.28
AKZOINDIA,13624.75
AKSHAR,34.65
AIAENG,34304.57
ALGOQUANT,1476.32
ALICON,1003.49
AIROLAM,126.57
ADFFOODS,1955.02
ALPA,108.89
AJMERA,2140.39
AKSHARCHEM,130.86
ALBERTDAVD,375.32
