,mcap_cr
3MINDIA,35034.37
21STCENMGM,34.25
360ONE,39998.96
AAKASH,85.86
3IINFOLTD,280.24
AAREYDRUGS,177.18
AARTIIND,14712.77
AARTIDRUGS,2991.46
63MOONS,2231.72
A2ZINFRA,279.5
AARTECH,142.24
AARON,284.75
AAATECH,115.58
5PAISA,872.55
AADHARHFC,19354.57
AARTIPHARM,5607.48
20MICRONS,506.3
3PLAND,
AARVI,185.67
AARTISURF,286.66
ABFRL,6926.11
ABMINTLLTD,42.52
ABLBL,11125.59
ACEINTEG,16.27
ABAN,135.93
ADANIPORTS,300344.1
ABDL,10745.07
ADROITINFO,48.43
ADFFOODS,1781.44
ABB,128031.87
ADOR,1517.18
ADVANCE,569.12
ACI,7557.51
AAVAS,8504.42
ABCAPITAL,77261.31
ABBOTINDIA,54153.85
ABINFRA,1080.83
ACCURACY,59.02
ADVENZYMES,2986.21
ADANIENT,249642.37
ACE,9399.23
ACUTAAS,18570.01
ACL,446.44
ACMESOLAR,14394.86
ADL,36.57
ABSLAMC,25682.09
ADVENTHTL,747.86
ADSL,542.37
AEGISVOPAK,19427.52
ABCOTS,890.41
ACC,24971.95
ACCELYA,1704.12
AEGISLOG,20637.05
AEROFLEX,2957.04
ADVANIHOTR,442.6
ADANIPOWER,285144.16
AEQUS,7866.76
AETHER,14395.83
ADANIGREEN,134483.7
ADANIENSOL,113959.83
AFSL,1023.03
AERONEU,176.47
ABREL,12278.7
AFFORDABLE,156.45
AFCONS,9974.32
AFFLE,17838.29
AEROENTER,740.66
AFIL,343.53
AGARWALEYE,13312.25
AGARIND,571.69
AGIIL,3663.85
AHLEAST,249.37
AHCL,607.63
AGRITECH,60.67
AJMERA,1986.39
AKSHAR,31.5
AJAXENGG,5196.36
AKASH,41.7
AHLUCONT,4558.84
AGI,3060.83
AIROLAM,126.59
AKG,33.14
AIRAN,181.9
AHLADA,47.05
AGSTRA,35.29
AJOONI,69.76
AIIL,40805.29
ALGOQUANT,1409.98
ALICON,992.63
AKI,45.55
AIAENG,30944.1
ALANKIT,193.33
AMBICAAGAR,37.88
AKSHOPTFBR,71.59
ALKYLAMINE,6338.79
AGROPHOS,62.36
ALLTIME,1327.84
AJANTPHARM,34959.03
ALPHAGEO,114.09
ALOKINDS,6042.7
ALIVUS,11496.03
AKSHARCHEM,138.29
ALEMBICLTD,1934.34
ALKEM,61510.21
ALLCARGO,1152.9
AMANTA,374.35
AKUMS,7160.72
ALKALI,54.89
AMJLAND,144.4
AMBUJACEM,97723.54
ALBERTDAVD,371.37
AKZOINDIA,12967.15
ALMONDZ,237.22
ALPA,120.33
ALLDIGI,1100.82
AMDIND,69.54
AMBER,22132.04
AMBIKCO,692.36
AMRUTANJAN,1495.72
ANKITMETAL,20.46
ANDHRAPAP,1191.91
ANTELOPUS,1806.99
AMNPLST,783.54
ANDHRSUGAR,943.77
ANTHEM,35300.91
ANIKINDS,104.34
ANSALAPI,50.68
ANGELONE,20081.94
ANANDRATHI,24181.26
ANANTRAJ,15920.68
ANURAS,14155.76
APOLLO,7097.44
ANUP,3038.73
ANUHPHR,718.6
APLAPOLLO,52593.85
ARE&M,13307.41
APARINDS,39386.45
APCL,319.48
ANTGRAPHIC,11.47
APOLLOTYRE,25301.21
APEX,1108.69
